protocol,judge_level,flaw_class,n,detection,ci_lo,ci_hi
consultancy,weak,answer_visible,320,1.0,1.0,1.0
critique,weak,answer_visible,320,1.0,1.0,1.0
debate,weak,answer_visible,320,0.996875,0.990625,1.0
judge_alone,weak,answer_visible,320,0.75,0.703125,0.796875
consultancy,weak,clean,80,1.0,1.0,1.0
critique,weak,clean,80,1.0,1.0,1.0
debate,weak,clean,80,1.0,1.0,1.0
judge_alone,weak,clean,80,1.0,1.0,1.0
consultancy,weak,process_only,160,1.0,1.0,1.0
critique,weak,process_only,160,1.0,1.0,1.0
debate,weak,process_only,160,1.0,1.0,1.0
judge_alone,weak,process_only,160,1.0,1.0,1.0
