protocol,judge_level,flaw_class,n,detection,ci_lo,ci_hi
critique,mid,answer_visible,320,0.965625,0.94375,0.984375
debate,mid,answer_visible,320,0.75625,0.709375,0.803125
judge_alone,mid,answer_visible,320,0.746875,0.7,0.79375
critique,mid,clean,80,1.0,1.0,1.0
debate,mid,clean,80,1.0,1.0,1.0
judge_alone,mid,clean,80,1.0,1.0,1.0
critique,mid,process_only,160,1.0,1.0,1.0
debate,mid,process_only,160,1.0,1.0,1.0
judge_alone,mid,process_only,160,1.0,1.0,1.0
critique,strong,answer_visible,320,0.778125,0.734375,0.821875
debate,strong,answer_visible,320,0.75,0.703125,0.796875
judge_alone,strong,answer_visible,320,0.75,0.703125,0.796875
critique,strong,clean,80,1.0,1.0,1.0
debate,strong,clean,80,1.0,1.0,1.0
judge_alone,strong,clean,80,1.0,1.0,1.0
critique,strong,process_only,160,1.0,1.0,1.0
debate,strong,process_only,160,1.0,1.0,1.0
judge_alone,strong,process_only,160,1.0,1.0,1.0
critique,weak,answer_visible,320,1.0,1.0,1.0
debate,weak,answer_visible,320,0.996875,0.990625,1.0
judge_alone,weak,answer_visible,320,0.75,0.703125,0.796875
critique,weak,clean,80,1.0,1.0,1.0
debate,weak,clean,80,1.0,1.0,1.0
judge_alone,weak,clean,80,1.0,1.0,1.0
critique,weak,process_only,160,1.0,1.0,1.0
debate,weak,process_only,160,1.0,1.0,1.0
judge_alone,weak,process_only,160,1.0,1.0,1.0
